Item Name,SKU,Description,Usage unit
ACRLIC GLASS PANEL - SINGLE WALL,,,NOS
AIR BUBBLING SYSTEM FOR HAVING 20 NOZZLE  MAKE: PENTAIR,,"MAKE: PENTAIR
",JOB
AUTO PH + CHLORINE MAKE: PENTAIR,,"MAKE: PENTAIR
",SET
AUTOMATIC POOL COVER,,"MAKE: PENTAIR
",NOS
"BALL VALVE 20 MM PVC (1"") MAKE: HARIT / EQ.",,MAKE: HARIT / EQ.,NOS
"BALL VALVE 25 MM PVC (1"") MAKE: HARIT / EQ.",,MAKE: HARIT / EQ.,NOS
"BALL VALVE 32 MM PVC (1"") MAKE: HARIT / EQ.",,MAKE: HARIT / EQ.,NOS
"BALL VALVE 50 MM PVC (1.5"") MAKE: HARIT / EQ.",,MAKE: HARIT / EQ.,NOS
"BALL VALVE 63 MM PVC (2"")MAKE: HARIT / EQ.",,MAKE: HARIT / EQ.,NOS
"BALL VALVE 75 MM PVC (2.5"")MAKE: HARIT / EQ.",,MAKE: HARIT / EQ.,NOS
"BALL VALVE 90 MM PVC (3"") MAKE: HARIT / EQ.",,MAKE: HARIT / EQ.,NOS
BRINE TANK MAKE: SINTEX,, MAKE: SINTEX,NOS
BUTTERFLY VALVE 100 MM CI MAKE: AUDCO (L&T),,MAKE: HARIT / EQ.,NOS
BUTTERFLY VALVE 110 MM CI MAKE: HARIT / EQ.,,MAKE: HARIT / EQ.,NOS
BUTTERFLY VALVE 110 MM MAKE: HARIT / EQ.,,MAKE: HARIT / EQ.,NOS
BUTTERFLY VALVE 150 MM CI MAKE: HARIT / EQ.,,MAKE: HARIT / EQ.,NOS
BUTTERFLY VALVE 160 MM MAKE: HARIT / EQ.,,MAKE: HARIT / EQ.,NOS
BUTTERFLY VALVE 200 MM CI MAKE: HARIT / EQ.,,MAKE: HARIT / EQ.,NOS
BUTTERFLY VALVE 200 MM MAKE: HARIT / EQ.,,MAKE: HARIT / EQ.,NOS
BUTTERFLY VALVE 50 MM MAKE: HARIT / EQ.,,MAKE: HARIT / EQ.,NOS
BUTTERFLY VALVE 63 MM CI MAKE: HARIT / EQ.,,MAKE: HARIT / EQ.,NOS
BUTTERFLY VALVE 63 MM MAKE: HARIT / EQ.,,MAKE: HARIT / EQ.,NOS
BUTTERFLY VALVE 75 MM MAKE: HARIT / EQ.,,MAKE: HARIT / EQ.,NOS
BUTTERFLY VALVE 90 MM MAKE: HARIT / EQ.,,MAKE: HARIT / EQ.,NOS
CABLE TRAY 100 MM GI,,,MTR
CABLE TRAY 100 MM GI MAKE: MURPHY / MEM ,,MAKE: MURPHY / MEM ,MTR
CABLE TRAY 150 MM GI,,,MTR
CABLE TRAY 150 MM GI MAKE: MURPHY / MEM ,,MAKE: MURPHY / MEM ,MTR
CABLE TRAY 300 MM GI MAKE: MURPHY / MEM ,,MAKE: MURPHY / MEM ,MTR
CABLE TRAY 50 MM GI,,,MTR
CABLE TRAY 50 MM GI MAKE: MURPHY / MEM ,,MAKE: MURPHY / MEM ,MTR
CABLE TRAY 75 MM GI MAKE: MURPHY / MEM ,,MAKE: MURPHY / MEM ,MTR
CABLE TRAY 75 MM GI,,,MTR
CABLES 2C X 1.5 MM MAKE: POLYCAB / FINOLEX,,MAKE: POLYCAB / FINOLEX,MTR
CABLES 2C X 2.5 MM MAKE: POLYCAB / FINOLEX,,MAKE: POLYCAB / FINOLEX,MTR
CABLES 3C X 2.5 MM MAKE: POLYCAB / FINOLEX,,MAKE: POLYCAB / FINOLEX,MTR
CABLES 3C X 4 MM MAKE: POLYCAB / FINOLEX,,MAKE: POLYCAB / FINOLEX,MTR
CABLES 3C X 6 MM MAKE: POLYCAB / FINOLEX,,MAKE: POLYCAB / FINOLEX,MTR
CABLES 4C X 2.5 MM MAKE: POLYCAB / FINOLEX,,MAKE: POLYCAB / FINOLEX,MTR
CABLES 4C X 6 MM MAKE: POLYCAB / FINOLEX,,MAKE: POLYCAB / FINOLEX,MTR
CABLES 6C X 1.5 MM MAKE: POLYCAB / FINOLEX,,MAKE: POLYCAB / FINOLEX,MTR
CARTAGE FILTER  MAKE : PENTAIR,, MAKE : PENTAIR,NOS
CHEMICAL - COPPER SULPHATE,,,KGS
CHEMICAL - FITKARI,,,KGS
CHEMICAL - HCL,,,LTR
CHEMICAL - TCCA - 90,,,KGS
CI NRV 100 MM MAKE: ADVANCE,,,NOS
CI NRV 150 MM MAKE: ADVANCE,,,NOS
CONDUIT PIPE,,"MAKE: PENTAIR
",MTR
CONDUIT PIPE  MAKE: SUPREME / FINOLEX,,"MAKE: PENTAIR
",MTR
CONDUIT PIPE 25 MM PVC,,MAKE: SUPREME / FINOLEX,MTR
CONDUIT PIPE 25 MM PVC MAKE: SUPREME / FINOLEX,,MAKE: SUPREME / FINOLEX,MTR
CONDUIT PIPE 32 MM MAKE: SUPREME / FINOLEX,,,MTR
CONDUIT PIPE 32 MM PVC MAKE: SUPREME / FINOLEX,,MAKE: SUPREME / FINOLEX,MTR
CONTROL CABLE FOR HEAT PUMP  MAKE: POLYCAB / FINOLEX,,MAKE: POLYCAB / FINOLEX,MTR
CONTROL PANEL,,,NOS
CONTROL PANEL FOR PUMPS & EQUIPMENTS WITH ELCB,,,NOS
COPPER FLEXIBLE CABLE FOR LIGHTS SIZE: 2C X 2.5 MM2,,,MTR
COUPLER 110 MM PN 10 KG UPVC MAKE: SUPREME/ FINOLEX,,MAKE: SUPREME / FINOLEX,NOS
COUPLER 160 MM PN 10 KG UPVC MAKE: SUPREME/ FINOLEX,,MAKE: SUPREME / FINOLEX,NOS
COUPLER 20 MM PN 10 KG UPVC MAKE: SUPREME/ FINOLEX,,MAKE: SUPREME / FINOLEX,NOS
COUPLER 25 MM PN 10 KG UPVC MAKE: SUPREME/ FINOLEX,,MAKE: SUPREME / FINOLEX,NOS
COUPLER 32 MM PN 10 KG UPVC MAKE: SUPREME/ FINOLEX,,MAKE: SUPREME / FINOLEX,NOS
COUPLER 63 MM PN 10 KG UPVC MAKE: SUPREME/ FINOLEX,,MAKE: SUPREME / FINOLEX,NOS
COUPLER 75 MM PN 10 KG UPVC MAKE: SUPREME/ FINOLEX,,MAKE: SUPREME / FINOLEX,NOS
COUPLER 90 MM PN 10 KG UPVC MAKE: SUPREME/ FINOLEX,,MAKE: SUPREME / FINOLEX,NOS
"CPVC BALL VALVE  65 MM PVC (1"") MAKE: ZOLOTO",,MAKE: ZOLOTO,NOS
"CPVC BALL VALVE 100 MM PVC (1"") MAKE: ZOLOTO",,MAKE: ZOLOTO,NOS
"CPVC BALL VALVE 15 MM PVC (1"") MAKE: ZOLOTO",,MAKE: ZOLOTO,NOS
"CPVC BALL VALVE 25 MM PVC (1"") MAKE: ZOLOTO",,MAKE: ZOLOTO,NOS
"CPVC BALL VALVE 40 MM PVC (1"") MAKE: ZOLOTO",,MAKE: ZOLOTO,NOS
"CPVC BALL VALVE 50 MM PVC (1"") MAKE: ZOLOTO",,MAKE: ZOLOTO,NOS
"CPVC BALL VALVE 80 MM PVC (1"") MAKE: ZOLOTO",,MAKE: ZOLOTO,NOS
CPVC BUTTERFLY VALVE 100 MM CI MAKE: AUDCO (L&T),,MAKE: HARIT / EQ.,NOS
CPVC BUTTERFLY VALVE 50 MM CI MAKE: AUDCO (L&T),,MAKE: HARIT / EQ.,NOS
CPVC BUTTERFLY VALVE 65 MM CI MAKE: AUDCO (L&T),,MAKE: HARIT / EQ.,NOS
CPVC BUTTERFLY VALVE 80 MM CI MAKE: AUDCO (L&T),,MAKE: HARIT / EQ.,NOS
CPVC NON RETURN VALVE 100 MM MAKE: ADVANCE,,MAKE: HARIT / EQ.,NOS
CPVC NON RETURN VALVE 50 MM MAKE: ADVANCE,,MAKE: HARIT / EQ.,NOS
CPVC NON RETURN VALVE 65 MM MAKE: ADVANCE,,MAKE: HARIT / EQ.,NOS
CPVC NON RETURN VALVE 80 MM MAKE: ADVANCE,,MAKE: HARIT / EQ.,NOS
"CPVC PIPE 1"" (SDR-11) MAKE: SUPREME/ FINOLEX",,MAKE: SUPREME / FINOLEX,MTR
"CPVC PIPE 1.5"" (SDR-11) MAKE: SUPREME/ FINOLEX",,MAKE: SUPREME / FINOLEX,MTR
"CPVC PIPE 2"" (SDR-11) MAKE: SUPREME/ FINOLEX",,MAKE: SUPREME / FINOLEX,MTR
"CPVC PIPE 2.5"" (SDR-11) MAKE: SUPREME/ FINOLEX",,MAKE: SUPREME / FINOLEX,MTR
"CPVC PIPE 3"" (SDR-11) MAKE: SUPREME/ FINOLEX",,MAKE: SUPREME / FINOLEX,MTR
"CPVC PIPE 4"" (SDR-11) MAKE: SUPREME/ FINOLEX",,MAKE: SUPREME / FINOLEX,MTR
DEEPNET MAKE: PENTAIR,,"MAKE: PENTAIR
",NOS
DOSING PUMP 0-5 LPH MAKE: PENTAIR,,"MAKE: PENTAIR
",NOS
DOSING TANK 100 LTR MAKE: SINTEX,,"MAKE: SINTEX
",NOS
"DRAIN GRILL 200 MM DIA, ANTIVORTEX (VGBA) IN ABS MAKE: PENTAIR",,"MAKE: PENTAIR
",NOS
"DRAIN GRILL 200 MM DIA, ANTIVORTEX IN ABS",,MAKE: PENTAIR,PCS
EARTHING WIRING MAKE: POLYCAB / FINOLEX,,MAKE: POLYCAB / FINOLEX,MTR
ELBOW 110 MM PN 10 KG UPVC MAKE: SUPREME/ FINOLEX,,MAKE: SUPREME / FINOLEX,NOS
ELBOW 160 MM PN 10 KG UPVC MAKE: SUPREME/ FINOLEX,,MAKE: SUPREME / FINOLEX,NOS
ELBOW 32 MM PN 10 KG UPVC MAKE: SUPREME/ FINOLEX,,MAKE: SUPREME / FINOLEX,NOS
ELBOW 50 MM PN 10 KG UPVC MAKE: SUPREME/ FINOLEX,,MAKE: SUPREME / FINOLEX,NOS
ELBOW 63 MM PN 10 KG UPVC MAKE: SUPREME/ FINOLEX,,MAKE: SUPREME / FINOLEX,NOS
ELBOW 75 MM PN 10 KG UPVC MAKE: SUPREME/ FINOLEX,,MAKE: SUPREME / FINOLEX,NOS
ELBOW 90 MM PN 10 KG UPVC MAKE: SUPREME/ FINOLEX,,MAKE: SUPREME / FINOLEX,NOS
END CAP 110 MM PVC MAKE: HARIT / EQ.,,MAKE: HARIT / EQ.,NOS
END CAP 110 MM PVC MAKE: HARIT / EQ.,,MAKE: HARIT / EQ.,NOS
END CAP 160 MM PVC MAKE: HARIT / EQ.,,MAKE: HARIT / EQ.,NOS
END CAP 20 MM PVC MAKE: HARIT / EQ.,,MAKE: HARIT / EQ.,NOS
END CAP 25 MM PVC MAKE: HARIT / EQ.,,MAKE: HARIT / EQ.,NOS
END CAP 32 MM PVC MAKE: HARIT / EQ.,,MAKE: HARIT / EQ.,NOS
END CAP 50 MM PVC MAKE: HARIT / EQ.,,MAKE: HARIT / EQ.,NOS
END CAP 63 MM PVC MAKE: HARIT / EQ.,,MAKE: HARIT / EQ.,NOS
END CAP 75 MM PVC MAKE: HARIT / EQ.,,MAKE: HARIT / EQ.,NOS
END CAP 90 MM PVC MAKE: HARIT / EQ.,,MAKE: HARIT / EQ.,NOS
FILTER 960 DIA MAKE PENTAIR WITH TOP MOUNTED MPV,,,PCS
FILTER FEED PUMP MAKE: GRUNDFOS,, MAKE: GRUNDFOS,NOS
FILTER FILTER DIA: 1200 MM MAKE: PENTAIR,,"MAKE: PENTAIR
",NOS
FILTER FILTER DIA: 550 MM MAKE: PENTAIR,,"MAKE: PENTAIR
",NOS
FILTER FILTER DIA: 760 MM MAKE: PENTAIR,,"MAKE: PENTAIR
",NOS
FILTER FILTER DIA: 860 MM MAKE: PENTAIR,,"MAKE: PENTAIR
",NOS
FILTER FILTER DIA: 960 MM MAKE: PENTAIR,,"MAKE: PENTAIR
",NOS
FILTER IMPORTED  MAKE: PENTAIR,,"MAKE: PENTAIR
",NOS
FILTER MEDIA,,,KGS
FITTINGS IN CPVC ,,,LOT
FITTINGS IN UPVC (10KGS/CM2),,,LOT
FREIGHT INWARD CENTRAL 12%,,,OTH
FREIGHT INWARD CENTRAL 18%,,,OTH
FREIGHT INWARD CENTRAL 28%,,,OTH
FREIGHT INWARD LOCAL 12%,,,OTH
FREIGHT INWARD LOCAL 18%,,,OTH
FREIGHT INWARD LOCAL 28%,,,OTH
FREIGHT OUTWARD CENTRAL 12%,,,OTH
FREIGHT OUTWARD CENTRAL 18%,,,OTH
FREIGHT OUTWARD CENTRAL 28%,,,OTH
FREIGHT OUTWARD LOCAL 12%,,,OTH
FREIGHT OUTWARD LOCAL 18%,,,OTH
FREIGHT OUTWARD LOCAL 28%,,,OTH
GLASS MEDIA FOR FILTER (20 KG EACH BAG),,"MAKE: WIBI
",BAG
GLASS MEDIA FOR FILTER (25 KG EACH BAG),,"MAKE: WIBI
",BAG
GUTTER DRAIN,,MAKE: PENTAIR,PCS
HEAT PUMP 105 KW MAKE: PENTAIR,,"MAKE: PENTAIR
",NOS
HEAT PUMP 22 KW MAKE: PENTAIR,,"MAKE: PENTAIR
",NOS
HEAT PUMP 47 KW MAKE: PENTAIR,,"MAKE: PENTAIR
",NOS
HEAT PUMP 55 KW MAKE: PENTAIR,,"MAKE: PENTAIR
",NOS
HEAT PUMP 82 KW MAKE: PENTAIR,,"MAKE: PENTAIR
",NOS
HEAT PUMP 91 KW MAKE: PENTAIR,,"MAKE: PENTAIR
",NOS
INLET NOZZLES MAKE: PENTAIR,,"MAKE: PENTAIR
",NOS
INSTALLATION OF EQUIPMENT @ 10%,,,JOB
INSTALLATION OF EQUIPMENT @ 12%,,,JOB
INSTALLATION OF EQUIPMENT @ 18%,,,JOB
INSTALLATION OF EQUIPMENT @ 4%,,,JOB
INSTALLATION OF EQUIPMENT @ 5%,,,JOB
INSULATION PIPE,,,MTR
IRIS CONTROLLER + REMOTE,,,NOS
JACUZZI 4 SEATER INSIDE THE POOL HAVING 5 NOZZEL IN EACH SEAT IN ABS MAKE: PENTAIR,,"MAKE: PENTAIR
",JOB
JACUZZI 5 SEATER INSIDE THE POOL HAVING 5 NOZZEL IN EACH SEAT IN ABS MAKE: PENTAIR,,"MAKE: PENTAIR
",JOB
JACUZZI 6 SEATER INSIDE THE POOL HAVING 5 NOZZEL IN EACH SEAT IN ABS MAKE: PENTAIR,,"MAKE: PENTAIR
",JOB
JET NOZZLES MAKE: PENTAIR,,"MAKE: PENTAIR
",NOS
JUCTION BOX,,,NOS
JUCTION BOX MAKE: WIBI,,MAKE: WIBI,NOS
LACE FOR RAIN CURTAIN NOZZLE  MAKE: OASE (GERMANY),,"MAKE: OASE (GERMANY)
",MTR
LEVEL INDICATOR & CONTROLLER,,,NOS
MA - DEEPNET MAKE: PENTAIR,,"MAKE: PENTAIR
",NOS
MA - HOSE CUFF MAKE: PENTAIR,,"MAKE: PENTAIR
",NOS
MA - HOSE PIPE (15MTR.) MAKE: PENTAIR,,"MAKE: PENTAIR
",NOS
MA - LEAFT / FLATNET MAKE: PENTAIR,,"MAKE: OASE (GERMANY)
",NOS
"MA - STANDARD WALL BRUSH (18"") MAKE: PENTAIR",,"MAKE: PENTAIR
",NOS
MA - SUCTION HEAD (350 MM) MAKE: PENTAIR,,"MAKE: PENTAIR
",NOS
MA - TELESCOPIC HANDLE 8-16 MAKE: PENTAIR,,"MAKE: PENTAIR
",NOS
MA - TEST KIT MAKE: PENTAIR,,"MAKE: PENTAIR
",NOS
MA - VACCUM POINTS MAKE: PENTAIR,,"MAKE: PENTAIR
",NOS
MAINTENANCE AND REPAIR CHARGES CENTRAL @ 12%,,,OTH
MAINTENANCE AND REPAIR CHARGES CENTRAL @ 18%,,,OTH
MAINTENANCE AND REPAIR CHARGES LOCAL @ 12%,,,OTH
MAINTENANCE AND REPAIR CHARGES LOCAL @ 18%,,,OTH
MAINTENANCE AND REPAIR CHARGES LOCAL @ 18%,,,OTH
MALE THREAD ADAPTOR 110 MM  MAKE: HARIT / EQ.,,MAKE: HARIT / EQ.,NOS
